"","Year","Round","Seed1","Score1","Team1","Team2","Score2","Seed2","W1","L1","Pts1","Opp1","MOV1","SOS1","OSRS1","DSRS1","SRS1","W2","L2","Pts2","Opp2","MOV2","SOS2","OSRS2","DSRS2","SRS2"
"134",2008,1,4,69,"Connecticut","San Diego",70,13,24,9,77.5,68.7,8.79,6.76,10.81,4.73,15.54,22,14,65.7,63.8,1.92,1.45,-3.71,7.1,3.39
"135",2008,1,5,99,"Drake","Western Kentucky",101,12,28,5,73.9,62.1,11.82,4.15,7.43,6.65,14.08,29,7,77.4,66.8,10.61,0.24,7.93,1.41,9.34
"136",2009,1,4,69,"Wake Forest","Cleveland St",84,13,24,7,81,70.7,10.23,7.36,14.58,1.06,15.63,26,11,66.4,59.5,6.81,2.12,-1.24,8.21,6.97
"137",2009,1,5,71,"Utah","Arizona",84,12,24,10,71.2,64.6,6.65,5.72,5.36,7.24,12.59,21,14,72.3,69.2,3.09,8.8,9.13,2.75,11.88
"138",2009,1,6,60,"West Virginia","Dayton",68,11,23,12,72,61.8,10.23,8.34,7.32,11.26,18.57,27,8,66.8,61.4,5.4,1.76,-0.85,8,7.16
"139",2009,1,7,55,"Boston College","USC",72,10,22,12,74.4,70.5,3.85,7.23,8.48,1.88,10.36,22,13,68.5,63.5,4.94,9.15,3.36,10.74,14.09
"140",2009,1,7,71,"California","Maryland",84,10,22,11,74.9,68.8,6.09,7.21,11.18,2.12,13.3,21,14,71.8,69.1,2.66,8.99,6.63,4.48,11.1
"141",2009,1,5,59,"Florida St","Wisconsin",61,12,25,10,68.3,64.9,3.46,7.91,2.53,8.84,11.37,20,13,63.8,59,4.79,8.43,0.85,11.58,12.43
"142",2009,1,5,72,"Illinois","Western Kentucky",76,12,24,10,64.8,57.2,7.65,6.73,1.32,13.06,14.38,25,9,72.2,67,5.18,-1.23,4.09,-0.41,3.68
"143",2009,1,7,59,"Clemson","Michigan",62,10,23,9,78.3,68,10.31,6.59,12.43,3.13,15.56,21,14,66.9,63.2,3.66,9.74,4.72,7.18,11.9
