Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
45,Penn State,Big Ten,19,13,72.9,68.8,4.16,6.42,6.31,4.18,10.48,1998
46,Washington,Pac-10,20,10,78.6,76.6,2,8.28,10.84,-0.56,10.28,1998
47,Western Michigan,MAC (West),21,8,78.8,70.4,8.38,1.9,8.48,1.8,10.28,1998
48,George Washington,A-10 (West),24,9,73.2,68,5.15,4.76,4.6,5.32,9.91,1998
49,Detroit Mercy,MW Coll,25,6,74.6,63.1,11.52,0.49,3.3,6.57,9.86,1998
50,Illinois State,MVC,25,6,76.2,69.1,7.16,3.41,6.62,3.02,9.64,1998
51,Wake Forest,ACC,16,14,65.8,66.5,-0.73,10.36,0.83,8.79,9.62,1998
52,Rutgers,Big East (Big East 7),14,15,69.2,66.5,2.72,6.74,2.25,7.22,9.47,1998
53,Saint Louis,CUSA (American),22,11,67.3,63.3,3.97,5.5,-0.27,9.74,9.47,1998
54,Oklahoma,Big 12,22,11,74.6,68.3,6.33,4.19,3.84,5.57,9.41,1998
55,Kansas State,Big 12,17,12,74.5,68.6,5.97,3.42,5.49,3.9,9.39,1998
56,Fresno State,WAC (Pacific),21,13,83.4,77.3,6.06,5.63,13.15,-3.83,9.32,1998
57,Illinois-Chicago,MW Coll,22,6,74.6,66.1,8.54,0.67,6.59,2.62,9.21,1998
58,Florida,SEC (East),14,15,76.1,73.6,2.55,6.42,7.67,1.31,8.97,1998
59,Southern Mississippi,CUSA (National),22,11,69.2,62.3,6.85,2.42,-0.29,9.21,8.92,1998
60,Dayton,A-10 (West),21,12,76.1,71.3,4.76,4.04,6.47,2.33,8.8,1998
